pdv,cupom,pco,desconto,pcotot,descontotot,qtd,data_ins,hora,ts_referencia,data,produto,cod_loja
15293,99737,"41,03","0,0","40,86","0,0",1.000,2019-12-23 22:01:02.950,21:51:14,2021-01-22 16:04:32.195,2019-12-23,3109710,95
15092,1813,"4,37","2,53","4,2","2,98",1.000,2019-12-23 21:01:02.613,20:47:46,2021-01-22 16:04:32.195,2019-12-23,3109862,106
15094,1894,"4,37","2,53","4,2","2,98",1.000,2019-12-23 21:11:02.080,21:00:52,2021-01-22 16:04:32.195,2019-12-23,3109862,106
14993,20964,"7,03","0,0","6,86","0,0",1.000,2019-12-23 19:45:02.913,18:28:20,2021-01-22 16:04:32.195,2019-12-23,3108683,104
15093,1783,"11,530000000000001","0,0","11,36","0,0",1.000,2019-12-23 09:23:01.957,09:05:28,2021-01-22 16:04:32.195,2019-12-23,3071480,92
15092,1897,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 18:51:02.850,18:17:05,2021-01-22 16:04:32.195,2019-12-23,3113746,91
14990,10528,"12,030000000000001","0,0","11,86","0,0",1.000,2019-12-23 16:51:02.557,15:37:01,2021-01-22 16:04:32.195,2019-12-23,3113198,97
14791,102793,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 15:29:02.720,14:22:27,2021-01-22 16:04:32.195,2019-12-23,3099188,100
14796,60086,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 15:51:02.277,15:18:15,2021-01-22 16:04:32.195,2019-12-23,3099188,100
15091,2053,"4,37","2,53","4,2","2,98",1.000,2019-12-23 22:01:02.950,21:52:36,2021-01-22 16:04:32.195,2019-12-23,3109948,89
14796,60086,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 15:51:02.277,15:18:17,2021-01-22 16:04:32.195,2019-12-23,3099188,100
15297,186096,"6,03","0,0","5,86","0,0",1.000,2019-12-23 23:33:03.987,23:20:42,2021-01-22 16:04:32.195,2019-12-23,3122536,95
14794,403245,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 19:23:02.093,19:00:57,2021-01-22 16:04:32.195,2019-12-23,2987764,93
14794,403245,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 19:23:02.093,19:01:00,2021-01-22 16:04:32.195,2019-12-23,2987764,93
14794,403248,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 19:23:02.093,19:07:10,2021-01-22 16:04:32.195,2019-12-23,2987764,93
14794,403248,"3,0300000000000002","0,0","2,86","0,0",1.000,2019-12-23 19:23:02.093,19:07:15,2021-01-22 16:04:32.195,2019-12-23,2987764,93
15091,1840,"9,030000000000001","0,0","8,86","0,0",1.000,2019-12-23 15:41:02.960,15:00:47,2021-01-22 16:04:32.195,2019-12-23,2966373,105
15091,1833,"4,37","2,53","4,2","2,98",1.000,2019-12-23 17:43:02.383,17:26:42,2021-01-22 16:04:32.195,2019-12-23,3122116,106
15096,1838,"4,37","2,53","4,2","2,98",1.000,2019-12-23 17:43:02.383,17:28:04,2021-01-22 16:04:32.195,2019-12-23,3122116,106
15095,1750,"4,37","2,53","4,2","2,98",1.000,2019-12-23 16:03:04.687,15:49:00,2021-01-22 16:04:32.195,2019-12-23,3109861,106
15090,2106,"4,37","2,53","4,2","2,98",1.000,2019-12-23 23:13:02.557,22:56:24,2021-01-22 16:04:32.195,2019-12-23,3109948,111
15095,1760,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 12:53:02.573,10:39:35,2021-01-22 16:04:32.195,2019-12-23,3129884,114
14998,174931,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 12:13:02.133,10:35:00,2021-01-22 16:04:32.195,2019-12-23,3129467,99
15095,1745,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 12:33:04.787,09:40:38,2021-01-22 16:04:32.195,2019-12-23,2886374,114
